P4	82.1	26.6
P5	35.0	88.1
P6	82.0	31.2
P7	36.7	91.6
PX	82.8	27.7
PZ	83.8	28.0
QA	82.4	29.0
QB	82.7	30.0
QC	81.4	30.1
QD	82.8	27.8
QE	0.0	0.0
QF	83.0	29.5
QG	83.5	28.4
QH	83.6	24.2
QI	83.1	24.8
QJ	83.0	30.3
QK	82.6	29.4
QL	38.1	90.0
QM	84.1	27.6
QN	81.2	30.4
QO	83.5	27.3
QP	81.3	29.7
QQ	0.0	0.0
QR	33.0	67.8
QS	82.3	30.5
QT	80.3	30.4
QU	82.9	29.5
QV	83.0	29.9
QW	82.8	29.5
QX	83.2	30.5
QY	33.9	88.1
Q2	79.7	30.9
Q3	41.4	86.6
Q4	83.1	29.9
Q5	83.5	28.2
Q6	35.2	90.4
Q7	82.6	27.1
QZ	34.3	90.1
RA	34.9	89.7
RD	43.4	84.8
RE	80.3	29.7
RF	37.5	87.9
RG	33.4	87.5
RH	81.3	28.7
RI	79.6	30.1
RJ	83.0	29.4
RK	82.9	31.9
RL	83.8	26.9
RM	81.7	30.3
RN	80.2	30.0
RO	0.0	0.0
R2	81.0	29.6
R3	82.5	29.4
R4	82.9	27.1
R5	83.2	29.8
R6	36.7	87.2
R7	80.7	31.8
RP	83.8	29.2
RQ	38.2	87.0
RR	83.0	28.1
RS	36.5	89.9
RT	33.5	89.5
RU	83.5	27.9
RV	34.5	78.5
RW	80.4	30.7
RX	44.7	90.5
RY	82.9	29.0
RZ	83.2	26.7
SA	83.9	28.6
SB	80.4	30.0
SC	82.3	28.4
SD	0.0	0.0
SE	81.3	30.8
SF	39.0	83.1
SG	82.2	29.8
SH	82.5	29.3
SI	82.4	29.8
SJ	41.6	88.7
SK	84.0	27.7
SL	82.3	29.5
SM	35.2	87.3
SN	83.8	28.8
SO	35.0	86.7
SP	39.3	82.3
SQ	82.7	27.7
SR	80.2	29.8
SS	83.5	24.6
ST	42.5	89.3
SU	83.4	29.9
SV	36.0	90.9
SW	82.3	30.4
S2	32.5	81.9
S3	81.7	28.5
S4	82.5	29.0
S5	80.4	30.1
S6	36.2	89.2
S7	80.9	33.6
SX	82.9	30.6
SY	80.9	30.3
SZ	77.9	29.6
TA	84.0	30.2
TB	82.4	28.9
TC	82.2	29.1
TD	83.0	27.1
TE	83.1	30.1
TF	83.2	24.8
TG	81.8	31.6
TJ	35.5	85.9
TL	83.4	31.4
TM	80.7	30.5
TN	84.3	28.3
TO	41.7	88.3
TP	82.3	32.4
TQ	83.2	24.5
TR	81.1	31.8
TS	82.7	30.0
TT	35.0	85.0
TU	81.9	31.1
TV	40.3	87.6
TW	79.0	31.2
TX	34.7	90.1
T2	83.5	26.8
T3	83.5	29.8
T4	83.1	33.3
T5	82.4	28.8
T6	36.3	86.3
T7	37.0	89.9
TY	82.1	31.5
TZ	83.4	26.9
UA	84.5	29.1
UB	82.3	30.9
UD	36.8	81.6
UE	81.3	29.6
UF	82.9	30.1
UG	82.9	28.4
UH	43.0	87.4
UI	35.8	91.1
UJ	81.9	32.5
UK	81.1	29.6
U2	40.1	86.7
U3	42.6	87.9
U4	83.7	27.7
UL	44.9	90.8
UM	83.2	26.9
UN	83.0	30.6
UP	36.2	85.0
UQ	36.0	88.2
UR	81.3	29.3
US	84.1	29.1
UT	39.1	86.5
UU	50.3	31.4
UV	82.8	30.2
UW	83.4	29.1
UX	83.0	29.9
UY	83.2	28.6
UZ	50.6	29.0
U5	83.3	32.0
U6	82.3	18.8
U7	81.5	30.1
VA	81.8	30.7
VB	83.9	30.0
VC	81.7	29.9
VD	82.2	28.5
VE	82.7	32.8
VF	0.0	0.0
VG	83.2	29.3
VH	81.0	30.9
VI	81.9	33.3
VJ	82.7	28.3
VK	83.7	28.4
VL	83.4	30.4
VM	83.7	29.7
VN	81.0	29.2
VO	83.0	30.6
V2	83.7	28.8
V3	33.4	84.0
V4	0.0	0.0
V5	81.7	30.5
V6	81.5	30.3
V7	40.2	90.4
VP	35.4	91.0
VQ	82.9	28.6
VR	80.8	30.1
VS	82.3	30.8
VT	81.6	30.4
VU	83.2	26.4
VV	83.3	27.4
VW	83.8	31.1
VX	82.5	29.0
VY	39.4	89.2
VZ	83.3	26.7
WA	36.0	88.8
WB	83.4	27.3
